title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
Testimonia veterum,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 150",AucVar.TesVet10,Patrologia Latina,21448,True,
Excerptum de conversione Carentanorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 129",AucInc.ExDeCoC,Patrologia Latina,9295,True,
Epistolae et carmina,c.725-c.799,Paulus Vinfridus,http://viaf.org/viaf/40174477,40174477,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 95",PauVin.EpEtCa2,Patrologia Latina,8535,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Bulla,,Adrianus I,http://viaf.org/viaf/13102089,13102089,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",AdrI.Bulla,Patrologia Latina,8544,True,
De vera felicitate ac sapientia,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeVeFeA,Patrologia Latina,10111,True,
Vita S. Mammae,808-849,Walafridus Strabo,http://viaf.org/viaf/47555113,47555113,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 114",WalStr.ViSMa10,Patrologia Latina,9028,True,
Epistola pontificalis,c.1200-1268,Clemens IV papa,http://viaf.org/viaf/961145857084022921958,961145857084022921958,,Print edition by: F. Delle Donne,SISMEL. Edizioni del Galluzzo,Firenze,2007,,CleIv.EpiPont,,15477,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Note:', 'Livello di codifica: 1', 'Note: Parole: 546\n\t\t\t\t\tCaratteri (spazi esclusi): 3697\n\t\t\t\t\tVA']"
Carmina,fl.c.1475,"Casali, Pietro",,,"critical edition, apparatus not encoded","A. Cinquini, 1908",,,,Musisque Deoque 2007,CasPie.Carm,,19804,True,
Carmina Ambrosiana,1440-1510,"Sisgoreo, Giorgio",http://viaf.org/viaf/305501111,305501111,"critical edition, apparatus not encoded","Olga Perić, 1985",,,,Musisque Deoque 2007,SisGio.CaAm,,19857,True,
Vita S. Remigii,530-609,Venantius Fortunatus,http://viaf.org/viaf/220004375,220004375,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 88",VenFor.ViSRe,Patrologia Latina,8339,True,
De monasterio Fructuariensi,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",AucInc.DeMoFr,Patrologia Latina,9852,True,
Vita B. Odae virginis,1100-1183,Philippus de Harveng,http://viaf.org/viaf/297756855,297756855,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 203",PhDeHa.ViBOdVi,Patrologia Latina,11644,True,
Testimonia,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 20",AucVar.Testim2,Patrologia Latina,7074,True,
Historiae,,Ademarus Cibardi,http://viaf.org/viaf/27196342,27196342,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",AdeCib.Histor4,Patrologia Latina,9844,True,
Charta,fl.450,Patricius Hiberniae,http://viaf.org/viaf/4934807,4934807,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 53",PatHib.Charta,Patrologia Latina,7613,True,
Carmina varia,1431-1480,"Zovenzoni, Raffaele",http://viaf.org/viaf/3542658,3542658,"critical edition, apparatus not encoded","B. Ziliotto, 1950; 1952-53",,,,Musisque Deoque 2007,ZovRaf.Cava,,19890,True,
Benedictio aquae,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 85",AucInc.BenAqu,Patrologia Latina,8225,True,
In Evangelium S. Marci,672-735,Beda,http://viaf.org/viaf/61539765,61539765,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 92",Beda.InEvSMa2,Patrologia Latina,8471,True,
Opuscula,c.480–547,Benedictus Nursiae,http://viaf.org/viaf/100179656,100179656,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 66",BenNur.Opuscu2,Patrologia Latina,7833,True,
Ad martyres,150-230,Tertullianus,http://viaf.org/viaf/100226395,100226395,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 1",Tertul.AdMar,Patrologia Latina,40,True,
Epitaphia,1340-1400,"Silvestri, Domenico",http://viaf.org/viaf/160837028,160837028,"critical edition, apparatus not encoded","R. C. Jensen, 1973",,,,Musisque Deoque 2007,SilDom.Epit,,20118,True,
Vita Sugerii,,Guillelmus S. Dionysii,http://viaf.org/viaf/227126966,227126966,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 186",GuSDi.VitSug,Patrologia Latina,11365,True,
De errore Priscillianistarum et Origenistarum,385-420,Orosius,http://viaf.org/viaf/2479624,2479624,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 42",Orosiu.DeErPrE,Patrologia Latina,7449,True,
Epistolae,fl. 1119,Theobaldus Stampensis,http://viaf.org/viaf/47119357,47119357,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 163",TheSta.Episto272,Patrologia Latina,10801,True,
Diploma,,Eugenius II,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1831,"Patrologia Latina, vol. 105",EugIi.Diplom6,Patrologia Latina,8833,True,
Epistolarum classis II,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 16",AmbMed.EpClIi,Patrologia Latina,6979,True,
Expositio de tabernaculo,-1173,Richardus S. Victoris,http://viaf.org/viaf/98148813,98148813,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 196",RiSVi.ExDeTa,Patrologia Latina,11551,True,
Appendix Tarvisiensis,1505-1567,"Astemio, Giovanni Pietro",,,"critical edition, apparatus not encoded","Claudia Zucchiatti, tesi di laurea Università degli studi di Trieste, 1971-72",,,,Musisque Deoque 2007,AstGio.ApTa,,19697,True,
Epistolae et privilegia,,Wibertus antipapa,http://viaf.org/viaf/265031709,265031709,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 148",WibAnt.EpEtPr19,Patrologia Latina,10272,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De consensu Evangelistarum,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 34",AugHip.DeCoEv,Patrologia Latina,7304,True,
Epitaphium Ainardi,,Durandus Trobarnensis,http://viaf.org/viaf/21711396,21711396,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",DurTro.EpiAin,Patrologia Latina,10296,True,
Tractatus contra Judaeos,,Gualterus de Castellione; Balduinus Valentianensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 209",GuDeCaB.TrCoJu2,Patrologia Latina,11731,True,
Exorcismus,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 17",AucInc.Exorci,Patrologia Latina,7012,True,
Acta conventus Diusburgensis,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucVar.AcCoDi,Patrologia Latina,9652,True,
Epistolae et privilegia,-1118,Paschalis II,http://viaf.org/viaf/79143533,79143533,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 163",PasIi.EpEtPr22,Patrologia Latina,10794,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De Nabuthe Jezraelita,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 14",AmbMed.DeNaJe,Patrologia Latina,21360,True,
Vita Theobaldi Becci,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",AucInc.ViThBe,Patrologia Latina,10331,True,
Schedae,,Sextus Pompeius Festus,http://viaf.org/viaf/89123645,89123645,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 95",SePoFe.Scheda,Patrologia Latina,8539,True,
Epigrammi,1438-1516,Ugolino Verino,http://viaf.org/viaf/49402513,49402513,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13063,True,
Petri Mocenici imperatoris gestorum libri tres,1425-1493,Coriolanus Cepionis,,,"early modern edition, no apparatus",Neven Jovanović,,,lipnja 2009,,CorCep.PeMoImp,,13407,True,
Epistolae,,Petrus Bernardus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 204",PetBer.Episto334,Patrologia Latina,11667,True,
Nomina antistitum S. Matiscensis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",AucInc.NoAnSMa,Patrologia Latina,10419,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,15009,True,
Vita Constantini,,Eusebius Pamphilus,http://viaf.org/viaf/29403098,29403098,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 8",EusPam.VitCon,Patrologia Latina,6843,True,
Notitia historica,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",AucInc.NotHis98,Patrologia Latina,8357,True,
Liber de oblatione puerorum,780-856,Rabanus Maurus,http://viaf.org/viaf/95147534,95147534,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 107",RabMau.LiDeObP,Patrologia Latina,8890,True,
Benedictio abbatis canonicorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",AucInc.BeAbCa,Patrologia Latina,10170,True,
Quaestiones in Proverbia et Ecclesiasten,-1158,Honorius Augustodunensis,http://viaf.org/viaf/100201145,100201145,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 172",HonAug.QuInPrE,Patrologia Latina,10995,True,
Orationes,1304-1374,Francesco Petrarca,http://viaf.org/viaf/39382430,39382430,,,Biblioteca Italiana,Roma,2003,Collezione BibIt,,,13103,True,
Confessio,fl.450,Patricius Hiberniae,http://viaf.org/viaf/4934807,4934807,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 53",PatHib.Confes4,Patrologia Latina,7614,True,
Regula pastoralis,540-604,Gregorius I,http://viaf.org/viaf/100184667,100184667,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 77",GreI.RegPas,Patrologia Latina,21435,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14857,True,
Ordo nobilium urbium,309-394,Ausonius Burdigalensis,http://viaf.org/viaf/109786483,109786483,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 19",AusBur.OrNoUr,Patrologia Latina,7050,True,
Excerpta de S. Aldhelmo,,Beda; Willelmus Malmesburiensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",BeWiMa.ExDeSAl,Patrologia Latina,8363,True,
Charta abbatiae Grandimontis,1047-1117,Robertus de Arbrissello,http://viaf.org/viaf/66475537,66475537,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 162",RoDeAr.ChAbGr,Patrologia Latina,10756,True,
De stabilitate animae,,Benedictinus anonymus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 213",BenAno.DeStAn2,Patrologia Latina,11806,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,15043,True,
Fragmenta commentarii in Psalmos,c.538–594,Gregorius Turonensis,http://viaf.org/viaf/95289837,95289837,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 71",GreTur.FrCoInP,Patrologia Latina,7939,True,
Epistolae,1110-1184,Arnulfus Lexoviensis,http://viaf.org/viaf/93259877,93259877,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 201",ArnLex.Episto328,Patrologia Latina,11600,True,
Epistolae et decreta,,Joannes VIII,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 126",JoaVii.EpEtDe25,Patrologia Latina,9263,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Capitula diversa,,Ludovicus II Germaniae,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",LuIiGe.CapDiv,Patrologia Latina,9719,True,
Expositiones in Leviticum,780-856,Rabanus Maurus,http://viaf.org/viaf/95147534,95147534,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 108",RabMau.ExInLe,Patrologia Latina,8900,True,
Acta,fl. 1031,Concilium Lemovicense II,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 142",CoLeIi.Acta16,Patrologia Latina,9943,True,
Commonitorium ad Augustinum,385-420,Orosius,http://viaf.org/viaf/2479624,2479624,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 31",Orosiu.CoAdAu,Patrologia Latina,7276,True,
Exercitationes Oratoriae,1606-1681,"Masenius, Jacobus",http://viaf.org/viaf/10061069,10061069,early modern edition,,Johannes Busaeus,Koeln,1669.,,MasJac.ExerOra,,13980,True,"['http://www.uni-mannheim.de/mateo/', 'camena/masen9', 'Masen_exercitationes.html', 's001.html', 'Masen_exercitationes.xml', 'camenaref/masen/masen9', 'html']"
Regula monachorum 1,565-636,Isidorus Hispalensis,http://viaf.org/viaf/803890,803890,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 83",IsiHis.RegMon2,Patrologia Latina,8217,True,
Oratio in principio studii,1406-1457,Lorenzo Valla,http://viaf.org/viaf/29541502,29541502,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13101,True,
Sermo de S. Matthia,,Autpertus Cassinensis,http://viaf.org/viaf/251001865,251001865,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 129",AutCas.SeDeSMa,Patrologia Latina,9302,True,
Minos,c.425BC–347BC,Plato,http://viaf.org/viaf/303814984,303814984,,,,,,,Plato.Minos,"Text was scanned at St. Olaf Spring, 1992, by Perseus.",21299,True,
In verba Michaeae cap. VI v. 8,,Auctor incertus (Bernardus Claraevallensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AuInBeC.InVeMiC,Patrologia Latina,11271,True,
Expositio Herculis Furentis,c.1258-1328,Nicola Trevet,http://viaf.org/viaf/64000382,64000382,,,Biblioteca Italiana,Roma,2005,Collezione BibIt,,,13074,True,
Epigramma in obtrectatorem Augustini,390-463,Prosper Aquitanus,http://viaf.org/viaf/52485706,52485706,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 45",ProAqu.EpInObA,Patrologia Latina,7499,True,
Fragmentum,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 14",AmbMed.Fragme3,Patrologia Latina,6957,True,
Carmina Mussati vel Lovati,1261-1329,"Mussato, Albertino",http://viaf.org/viaf/2636158,2636158,"critical edition, apparatus not encoded","L. Padrin, 1887",,,,Musisque Deoque 2007,MusAlb.CaveLo,,19860,True,
Comoediae,935-973,Hrothsuita Gandersheimensis,http://viaf.org/viaf/9927322,9927322,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",HroGan.Comoed,Patrologia Latina,9545,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De computo,,Auctor incertus (Beda?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 90",AuInBe.DeCom,Patrologia Latina,8407,True,
Panegyris,fl.ca.1500,"Vitale, Giovanni Francesco",http://viaf.org/viaf/316410779,316410779,"critical edition, apparatus not encoded","M. Freher, 1601",,,,Musisque Deoque 2007,VitGio.Pane,,20243,True,
Ad clerum in concilio Remensi congregatum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AucInc.AdClInC,Patrologia Latina,11277,True,
Libellus VIII quaestionum,-1158,Honorius Augustodunensis,http://viaf.org/viaf/100201145,100201145,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 172",HonAug.LiViQu,Patrologia Latina,10993,True,
Epistola,,Valerannus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 158",Valera.Episto262,Patrologia Latina,10640,True,
De quatuor voluntatibus in Christo,-1141,Hugo de S. Victore,http://viaf.org/viaf/9865788,9865788,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 176",HuDeSVi.DeQuVoI,Patrologia Latina,11080,True,
De gestis Pelagii,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 44",AugHip.DeGePe,Patrologia Latina,7474,True,
De prandio monachorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.DePrMo,Patrologia Latina,9604,True,
Historia translationis SS. Saviniani Potentiani Sociorumque,,Odorannus S. Petri Vivi,http://viaf.org/viaf/46784006,46784006,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 142",OdSPeVi.HiTrSsS,Patrologia Latina,9961,True,
De orthographia,485-580,Cassiodorus Vivariensis,http://viaf.org/viaf/95230707,95230707,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 70",CasViv.DeOrt,Patrologia Latina,7921,True,
Cato Maior: de Senectute 44BC,106BC–43BC,Cicero,http://viaf.org/viaf/78769600,78769600,,,"Harvard University Press; Cambridge, Mass., London, England",Cambridge,1923,,Cicero.DeSene,,12614,True,
Carmina,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 53",AucInc.Carmin4,Patrologia Latina,7603,True,
De generatione animalium,384BC–322BC,Aristoteles,http://viaf.org/viaf/7524651,7524651,,,,,,,Aristo.GeneAnGR,,21260,True,
Dialogus,c.1270-c.1339,Gerius Aretinus,http://viaf.org/viaf/224116881,224116881,,Print edition by: C. Cenni,Pacini,Pisa,2009,,GerAre.Dialogu,,15454,True,"['Genere: Filosofia', 'Tipo: Fonti Letterarie', 'Note: Parole: 1380\r\nCaratteri: 7367\r\nNote: Il volume fa parte della collana\n\t\t\t\t\t                    «Scrittori latini dell’Europa medievale», a cura di F. Stella. Si riproduce dal\n\t\t\t\t\t                    volume indicato il Dialogo a Francesco da Barberino (Ms. Roma Biblioteca Corsiniana 33, E 27, ff.\n\t\t\t\t\t                    98v-102r). \r\nLe porzioni di testo in corsivo corrispondono a citazioni di brani letterari\n\t\t\t\t                    \r\nE.B.', 'Livello di codifica: 1']"
De laudibus S. Bernardi,fl. 1150,Nicolaus Hacqueville,http://viaf.org/viaf/66805034,66805034,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 185",NicHac.DeLaSBe,Patrologia Latina,11359,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14963,True,
Diplomata,,Willelmus Conquestor,http://viaf.org/viaf/88049597,88049597,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",WilCon.Diplom22,Patrologia Latina,10317,True,
Epistolae,,Henricus de Castro Marsiaco,http://viaf.org/viaf/24991122,24991122,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 204",HeDeCaM.Episto333,Patrologia Latina,11665,True,
Vita S. Augustini Cantuariensis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",AucInc.ViSAuCa,Patrologia Latina,10330,True,
Piae donationes,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 166",AucVar.PiaDon,Patrologia Latina,10833,True,
Epigrammatum libellus,-c.1470,Settimuleio Campano,,,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13061,True,
Appendix,,Felix IV,http://viaf.org/viaf/32387224,32387224,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 65",FelIv.Append10,Patrologia Latina,7800,True,
Epistola ad Hugonem,,Fulcoius Meldensis,http://viaf.org/viaf/29887019,29887019,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",FulMel.EpAdHu,Patrologia Latina,10341,True,
Liber numerorum qui in sanctis Scripturis occurrunt,565-636,Isidorus Hispalensis,http://viaf.org/viaf/803890,803890,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 83",IsiHis.LiNuQuI,Patrologia Latina,8214,True,
Commentarius in LXXV psalmos,,Auctor incertus (Rufinus Aquileiensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 21",AuInRuA.CoInLxP,Patrologia Latina,7109,True,
Appendix prima,440-461,Leo I,http://viaf.org/viaf/9875336,9875336,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 1",LeoI.AppPri,Patrologia Latina,7628,True,
Commentaria in librum Judicum,780-856,Rabanus Maurus,http://viaf.org/viaf/95147534,95147534,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 108",RabMau.CoInLiJ2,Patrologia Latina,8895,True,
Capitula ex lege et canone collecta,c.810-c.860,Florus Lugdunensis,http://viaf.org/viaf/38243171,38243171,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,,"Patrologia Latina, vol. 119",FloLug.CaExLeE,,9089,True,
Capitula missa ad Francos et Aquitanos,823-877,Carolus II Calvus,http://viaf.org/viaf/267078093,267078093,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",CaIiCa.CaMiAdF,Patrologia Latina,9695,True,
De primordiis et inventione sacrae religionis Hierosolymorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 155",AucInc.DePrEtI,Patrologia Latina,10517,True,
In orationem dominicam,1052-1079,Theodoricus Paderbrunnensis,http://viaf.org/viaf/64362643,64362643,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",ThePad.InOrDo,Patrologia Latina,10232,True,
Acrostichon ad Rohonem,,Ademarus Cibardi,http://viaf.org/viaf/27196342,27196342,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",AdeCib.AcAdRo,Patrologia Latina,9840,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14793,True,
Leges ecclesiasticae,,Edwardus senior; Guthurnus Danorum,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",EdSeGuD.LegEcc3,Patrologia Latina,9712,True,
Epistolae,,Raynaldus I Remensis,http://viaf.org/viaf/264331693,264331693,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",RaIRe.Episto250,Patrologia Latina,10378,True,
Apologia in Sanctum Hieronymum,345-411,Rufinus Aquileiensis,http://viaf.org/viaf/77679446,77679446,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 21",RufAqu.ApInSaH,Patrologia Latina,7118,True,
De miraculis,1092-1156,Petrus Cluniacensis,http://viaf.org/viaf/90632967,90632967,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 189",PetClu.DeMir3,Patrologia Latina,11414,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Magnates superstites anno XX regni Willelmi,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",AucInc.MaSuAnX,Patrologia Latina,10286,True,
De partu Virginis,1457-1530,"Sannazaro, Iacopo",http://viaf.org/viaf/87990970,87990970,"critical edition, apparatus not encoded","C. Fantazzi, A. Perosa, 1988",,,,Musisque Deoque 2007,SanIac.DepaVi,,19969,True,
